Account_ID,Company,Email
1,FurgoTrans,info@furgotrans.com
2,MegaLogística,info@megalogística.com
3,ConstruMóvil,info@construmóvil.com
4,FoodFleet,info@foodfleet.com
5,TechCargo,info@techcargo.com
6,TransPortex,info@transportex.com
7,CargaMax,info@cargamax.com
8,ExpressMovil,info@expressmovil.com
9,LogisWorld,info@logisworld.com
10,AutoCargo,info@autocargo.com
11,HeavyLoad,info@heavyload.com
12,SpeedTruck,info@speedtruck.com
13,FlexiTransport,info@flexitransport.com
14,CargoNet,info@cargonet.com
15,UrbanLogistics,info@urbanlogistics.com
16,DistribuExpress,info@distribuexpress.com
17,RutaFlete,info@rutaflete.com
18,FastMove,info@fastmove.com
19,LoadMaster,info@loadmaster.com
20,EcoLogística,info@ecologística.com
21,NexusTransport,info@nexustransport.com
22,PowerHaul,info@powerhaul.com
23,GlobalFlete,info@globalflete.com
24,SteelCargo,info@steelcargo.com
25,PrimeTransport,info@primetransport.com
