Case_ID,Account_ID,Subject,Priority,Status
2,1,Case 2,Critical,Open
4,16,Case 4,High,Open
7,22,Case 7,Medium,Open
11,8,Case 11,Medium,Open
12,22,Case 12,High,Open
16,1,Case 16,High,Open
17,11,Case 17,High,Open
21,18,Case 21,Medium,Open
22,18,Case 22,Medium,Open
23,22,Case 23,Medium,Open
24,1,Case 24,High,Open
26,1,Case 26,Low,Open
27,11,Case 27,Medium,Open
29,6,Case 29,Low,Open
30,16,Case 30,Medium,Open
33,22,Case 33,Medium,Open
37,15,Case 37,High,Open
42,6,Case 42,High,Open
48,13,Case 48,Medium,Open
52,11,Case 52,Low,Open
53,20,Case 53,Low,Open
56,22,Case 56,Critical,Open
59,16,Case 59,Medium,Open
60,20,Case 60,Critical,Open
63,11,Case 63,Medium,Open
65,20,Case 65,Low,Open
66,11,Case 66,Medium,Open
67,16,Case 67,Medium,Open
69,18,Case 69,Critical,Open
70,15,Case 70,High,Open
71,6,Case 71,High,Open
73,19,Case 73,High,Open
76,15,Case 76,Low,Open
79,16,Case 79,Medium,Open
83,20,Case 83,Low,Open
84,18,Case 84,Low,Open
87,8,Case 87,Critical,Open
90,19,Case 90,Medium,Open
92,1,Case 92,Critical,Open
93,10,Case 93,Low,Open
98,10,Case 98,High,Open
102,22,Case 102,High,Open
105,15,Case 105,High,Open
107,15,Case 107,Critical,Open
108,8,Case 108,Critical,Open
112,19,Case 112,Critical,Open
113,8,Case 113,Low,Open
114,6,Case 114,Medium,Open
115,11,Case 115,Medium,Open
116,15,Case 116,High,Open
117,6,Case 117,Critical,Open
119,8,Case 119,Medium,Open
120,11,Case 120,Critical,Open
121,13,Case 121,Medium,Open
123,10,Case 123,Low,Open
124,19,Case 124,Low,Open
126,18,Case 126,Critical,Open
128,16,Case 128,Medium,Open
129,16,Case 129,High,Open
134,22,Case 134,Medium,Open
135,6,Case 135,Critical,Open
136,8,Case 136,Low,Open
139,11,Case 139,Low,Open
140,16,Case 140,High,Open
141,19,Case 141,Low,Open
143,20,Case 143,Low,Open
147,10,Case 147,Low,Open
154,1,Case 154,Medium,Open
160,16,Case 160,Critical,Open
161,10,Case 161,Critical,Open
163,22,Case 163,Low,Open
167,19,Case 167,Low,Open
168,20,Case 168,Critical,Open
170,16,Case 170,High,Open
173,20,Case 173,High,Open
175,8,Case 175,Critical,Open
177,22,Case 177,Critical,Open
182,15,Case 182,Critical,Open
188,20,Case 188,High,Open
193,13,Case 193,Medium,Open
194,6,Case 194,High,Open
197,8,Case 197,High,Open
199,15,Case 199,Low,Open
200,1,Case 200,Critical,Open
203,19,Case 203,Medium,Open
204,13,Case 204,High,Open
208,8,Case 208,High,Open
210,18,Case 210,Low,Open
211,8,Case 211,Medium,Open
213,22,Case 213,Critical,Open
216,20,Case 216,Medium,Open
221,20,Case 221,High,Open
222,13,Case 222,High,Open
223,19,Case 223,Low,Open
224,8,Case 224,High,Open
225,11,Case 225,Medium,Open
226,16,Case 226,Low,Open
227,15,Case 227,Critical,Open
228,18,Case 228,Critical,Open
233,16,Case 233,Critical,Open
234,22,Case 234,Medium,Open
235,6,Case 235,Low,Open
236,20,Case 236,High,Open
242,22,Case 242,Critical,Open
243,19,Case 243,High,Open
246,20,Case 246,Medium,Open
248,13,Case 248,Medium,Open
249,19,Case 249,Medium,Open
250,1,Case 250,High,Open
253,6,Case 253,Critical,Open
254,22,Case 254,Critical,Open
255,19,Case 255,Critical,Open
257,8,Case 257,Medium,Open
258,19,Case 258,Critical,Open
259,22,Case 259,Medium,Open
263,16,Case 263,Low,Open
264,19,Case 264,High,Open
265,11,Case 265,Medium,Open
266,22,Case 266,High,Open
268,11,Case 268,Critical,Open
269,16,Case 269,Medium,Open
271,13,Case 271,High,Open
274,18,Case 274,Critical,Open
276,20,Case 276,Critical,Open
277,20,Case 277,Medium,Open
279,13,Case 279,Medium,Open
280,6,Case 280,High,Open
281,18,Case 281,Critical,Open
283,22,Case 283,High,Open
284,11,Case 284,Low,Open
287,6,Case 287,Medium,Open
288,11,Case 288,Critical,Open
289,13,Case 289,Low,Open
292,13,Case 292,Low,Open
297,6,Case 297,High,Open
299,22,Case 299,Low,Open
300,13,Case 300,Medium,Open
305,8,Case 305,Critical,Open
306,20,Case 306,Medium,Open
310,10,Case 310,High,Open
312,1,Case 312,Low,Open
317,13,Case 317,High,Open
318,19,Case 318,High,Open
320,15,Case 320,Medium,Open
321,19,Case 321,Low,Open
323,11,Case 323,Critical,Open
324,20,Case 324,Medium,Open
325,22,Case 325,High,Open
327,10,Case 327,Low,Open
328,16,Case 328,Medium,Open
329,18,Case 329,High,Open
333,6,Case 333,Low,Open
334,20,Case 334,Low,Open
337,10,Case 337,Critical,Open
339,1,Case 339,High,Open
343,6,Case 343,Critical,Open
344,16,Case 344,Critical,Open
346,18,Case 346,Low,Open
347,19,Case 347,Critical,Open
348,22,Case 348,Medium,Open
350,13,Case 350,Critical,Open
357,19,Case 357,Critical,Open
362,20,Case 362,Critical,Open
365,13,Case 365,Medium,Open
366,20,Case 366,High,Open
368,8,Case 368,Medium,Open
369,8,Case 369,High,Open
370,22,Case 370,Low,Open
372,18,Case 372,Low,Open
373,1,Case 373,Medium,Open
374,13,Case 374,Critical,Open
375,6,Case 375,Low,Open
379,8,Case 379,Critical,Open
380,6,Case 380,Critical,Open
383,6,Case 383,Critical,Open
385,22,Case 385,Low,Open
389,15,Case 389,High,Open
393,8,Case 393,Medium,Open
394,19,Case 394,High,Open
398,1,Case 398,Critical,Open
403,20,Case 403,High,Open
405,20,Case 405,Critical,Open
407,13,Case 407,High,Open
408,13,Case 408,High,Open
411,11,Case 411,Medium,Open
413,16,Case 413,Critical,Open
418,15,Case 418,Medium,Open
420,10,Case 420,Critical,Open
421,18,Case 421,High,Open
425,15,Case 425,Low,Open
426,13,Case 426,Critical,Open
429,20,Case 429,Medium,Open
430,18,Case 430,Critical,Open
431,16,Case 431,High,Open
432,16,Case 432,Low,Open
433,10,Case 433,Low,Open
435,6,Case 435,Medium,Open
437,1,Case 437,Low,Open
439,15,Case 439,Medium,Open
440,13,Case 440,Low,Open
441,11,Case 441,High,Open
445,22,Case 445,Medium,Open
446,18,Case 446,High,Open
449,22,Case 449,High,Open
450,18,Case 450,Critical,Open
460,1,Case 460,Critical,Open
461,8,Case 461,Critical,Open
464,8,Case 464,Critical,Open
467,13,Case 467,Low,Open
469,13,Case 469,High,Open
471,6,Case 471,Low,Open
473,22,Case 473,Low,Open
474,18,Case 474,Critical,Open
475,16,Case 475,Low,Open
477,15,Case 477,Critical,Open
478,6,Case 478,High,Open
479,18,Case 479,High,Open
480,16,Case 480,Medium,Open
481,18,Case 481,Critical,Open
484,19,Case 484,Medium,Open
485,20,Case 485,High,Open
489,8,Case 489,Low,Open
490,19,Case 490,Critical,Open
491,16,Case 491,Low,Open
492,11,Case 492,High,Open
493,6,Case 493,Critical,Open
