Opportunity_ID,Account_ID,Name,Stage,Amount
4,15,Oportunidad 4,Prospección,41691
5,8,Oportunidad 5,Prospección,16110
6,13,Oportunidad 6,Cierre Ganado,16821
9,11,Oportunidad 9,Calificación,27341
10,13,Oportunidad 10,Prospección,24256
11,20,Oportunidad 11,Calificación,17933
13,15,Oportunidad 13,Negociación,13371
14,13,Oportunidad 14,Prospección,19902
16,19,Oportunidad 16,Prospección,18731
17,22,Oportunidad 17,Calificación,17786
19,19,Oportunidad 19,Cierre Ganado,29658
23,15,Oportunidad 23,Calificación,13323
25,16,Oportunidad 25,Negociación,43823
26,18,Oportunidad 26,Propuesta Enviada,49330
29,16,Oportunidad 29,Cierre Ganado,34890
31,19,Oportunidad 31,Propuesta Enviada,24538
32,13,Oportunidad 32,Prospección,47271
34,16,Oportunidad 34,Calificación,23850
35,6,Oportunidad 35,Prospección,15639
40,18,Oportunidad 40,Negociación,30953
41,16,Oportunidad 41,Cierre Ganado,14053
44,18,Oportunidad 44,Cierre Perdido,39937
46,11,Oportunidad 46,Cierre Ganado,10284
49,11,Oportunidad 49,Negociación,33765
51,18,Oportunidad 51,Cierre Perdido,10054
53,1,Oportunidad 53,Cierre Perdido,29664
56,15,Oportunidad 56,Calificación,49385
58,18,Oportunidad 58,Negociación,44024
59,22,Oportunidad 59,Calificación,21102
60,11,Oportunidad 60,Cierre Perdido,33383
63,22,Oportunidad 63,Negociación,33851
65,18,Oportunidad 65,Calificación,24230
66,10,Oportunidad 66,Prospección,15194
68,10,Oportunidad 68,Cierre Ganado,46448
69,6,Oportunidad 69,Propuesta Enviada,28648
71,1,Oportunidad 71,Negociación,22684
76,20,Oportunidad 76,Cierre Ganado,24092
77,1,Oportunidad 77,Prospección,20878
79,19,Oportunidad 79,Cierre Perdido,29328
81,11,Oportunidad 81,Negociación,35218
82,16,Oportunidad 82,Prospección,47576
85,13,Oportunidad 85,Propuesta Enviada,43508
89,13,Oportunidad 89,Negociación,35983
91,6,Oportunidad 91,Calificación,14397
94,13,Oportunidad 94,Calificación,16031
96,22,Oportunidad 96,Negociación,18608
97,22,Oportunidad 97,Cierre Ganado,12343
99,22,Oportunidad 99,Calificación,23652
101,1,Oportunidad 101,Cierre Perdido,33852
103,6,Oportunidad 103,Cierre Ganado,16376
107,15,Oportunidad 107,Cierre Perdido,40666
108,11,Oportunidad 108,Prospección,17740
109,22,Oportunidad 109,Prospección,24372
111,15,Oportunidad 111,Negociación,41737
112,16,Oportunidad 112,Cierre Ganado,33592
114,19,Oportunidad 114,Cierre Ganado,23119
116,15,Oportunidad 116,Negociación,31593
119,6,Oportunidad 119,Propuesta Enviada,16610
120,10,Oportunidad 120,Calificación,41560
121,15,Oportunidad 121,Negociación,26203
124,10,Oportunidad 124,Cierre Perdido,25323
126,11,Oportunidad 126,Propuesta Enviada,38898
127,8,Oportunidad 127,Negociación,39089
130,18,Oportunidad 130,Prospección,37003
131,20,Oportunidad 131,Cierre Ganado,14886
134,8,Oportunidad 134,Cierre Ganado,32217
135,16,Oportunidad 135,Cierre Ganado,25069
136,8,Oportunidad 136,Cierre Ganado,36430
137,10,Oportunidad 137,Prospección,15086
139,22,Oportunidad 139,Negociación,24130
140,6,Oportunidad 140,Cierre Ganado,49418
141,15,Oportunidad 141,Negociación,18410
144,20,Oportunidad 144,Propuesta Enviada,35185
146,6,Oportunidad 146,Prospección,35665
148,19,Oportunidad 148,Cierre Ganado,30143
150,15,Oportunidad 150,Prospección,29358
153,13,Oportunidad 153,Negociación,45702
155,8,Oportunidad 155,Propuesta Enviada,28832
156,16,Oportunidad 156,Cierre Perdido,42855
158,10,Oportunidad 158,Cierre Ganado,49001
159,8,Oportunidad 159,Calificación,38509
160,18,Oportunidad 160,Negociación,20651
164,10,Oportunidad 164,Negociación,20382
167,19,Oportunidad 167,Cierre Perdido,36592
172,16,Oportunidad 172,Propuesta Enviada,10388
174,16,Oportunidad 174,Prospección,34604
177,18,Oportunidad 177,Propuesta Enviada,42555
178,13,Oportunidad 178,Prospección,12937
181,22,Oportunidad 181,Calificación,34656
183,11,Oportunidad 183,Cierre Ganado,42106
184,11,Oportunidad 184,Negociación,17080
190,20,Oportunidad 190,Cierre Perdido,12498
191,18,Oportunidad 191,Cierre Perdido,38697
193,16,Oportunidad 193,Calificación,30139
195,13,Oportunidad 195,Cierre Ganado,43233
198,6,Oportunidad 198,Cierre Ganado,32049
199,19,Oportunidad 199,Propuesta Enviada,13556
200,6,Oportunidad 200,Propuesta Enviada,24616
202,10,Oportunidad 202,Cierre Ganado,27398
203,18,Oportunidad 203,Propuesta Enviada,49706
205,19,Oportunidad 205,Propuesta Enviada,32072
207,18,Oportunidad 207,Cierre Perdido,38761
208,1,Oportunidad 208,Calificación,21687
209,10,Oportunidad 209,Cierre Perdido,13647
210,19,Oportunidad 210,Calificación,18104
213,18,Oportunidad 213,Calificación,45899
214,6,Oportunidad 214,Prospección,42658
220,18,Oportunidad 220,Prospección,32149
221,15,Oportunidad 221,Propuesta Enviada,21172
223,6,Oportunidad 223,Prospección,18793
224,13,Oportunidad 224,Negociación,46442
230,20,Oportunidad 230,Negociación,21976
234,16,Oportunidad 234,Propuesta Enviada,45624
238,16,Oportunidad 238,Propuesta Enviada,25599
241,18,Oportunidad 241,Negociación,29628
242,18,Oportunidad 242,Negociación,17371
244,8,Oportunidad 244,Prospección,13824
245,20,Oportunidad 245,Calificación,23859
